item.copper_pickaxe 銅鎬
item.entwiner 纏結器
item.entwiner.desc 以魔法將觸發器纏結至目的地。
item.heart_beet 心之甜菜
item.heart_beet.desc 最大生命值增加 1 顆心！
item.iron_chest 鐵箱
item.gold_chest 金箱
item.dungeon_bricks 森林地城磚
item.dungeon_grate 森林地城柵格
item.dungeon_lamp 地城燈
item.dungeon_lamp_blue 藍色地城燈
item.dungeon_pressure_plate 地城壓力板
item.dungeon_door 地城門
item.pressure_plate 壓力板
item.button 按鈕
item.splitter 分流器
item.splitter.desc 將訊號分流至相鄰方塊。
item.pulser 脈衝器
item.pulser.desc 延長纏結脈衝。
item.dart_trap 飛鏢陷阱
item.dart_trap.desc 發射毒飛鏢。

item.thorn_blade 荊棘刃
item.regen_charm 再生之石
item.regen_charm.desc 每 4 秒恢復 1 點生命值。
item.jet_boots 噴射靴
item.jet_boots.desc 在空中跳躍即可啟動，燃料可維持 1 秒。
item.spring_boots 彈簧靴
item.spring_boots.desc 將跳躍高度提升至 2 公尺。
item.paraglider 滑翔傘
item.paraglider.desc 從高處緩慢下降。
item.jumping_bean 跳跳豆
item.jumping_bean.desc 近戰傷害提高 20%，但有代價。
item.sneakers 運動鞋
item.sneakers.desc 讓你能夠潛行。
item.gecko_gloves 壁虎手套
item.gecko_gloves.desc 戴上後可攀爬表面。
item.speed_boots 疾跑之靴
item.speed_boots.desc 穿上後讓你有力氣到處奔跑。
item.oak_log 橡木原木
item.pine_log 松木原木
item.pine_sapling 松樹苗
item.birch_planks 樺木板
item.maple_planks 楓木板
item.pine_planks 松木板
item.framed_glass 鑲框玻璃
item.red_brick 紅磚
item.lamp_cyan 青色燈
item.lamp_magenta 洋紅燈
item.lamp_yellow 黃色燈
item.copper_bars 銅欄杆
item.iron_bars 鐵欄杆
item.silver_bars 銀欄杆
item.gold_bars 金欄杆
item.concrete 混凝土
item.concrete.desc 移動速度提高 1.2 倍
item.asphalt 瀝青
item.asphalt.desc 移動速度提高 1.2 倍
item.thick_birch_log 粗樺木原木
item.thick_maple_log 粗楓木原木
item.thick_oak_log 粗橡木原木
item.thick_pine_log 粗松木原木
item.trampoline 彈跳床
item.trampoline.desc 讓你彈得非常高。
item.launch_pad 發射台
item.launch_pad.desc 將你發射到空中。
item.cloth 布料
item.cloth_light_grey 淺灰色布料
item.cloth_dark_grey 深灰色布料
item.cloth_black 黑色布料
item.cloth_red 紅色布料
item.cloth_orange 橘色布料
item.cloth_yellow 黃色布料
item.cloth_lime 萊姆綠布料
item.cloth_green 綠色布料
item.cloth_cyan 青色布料
item.cloth_blue 藍色布料
item.cloth_dark_blue 深藍色布料
item.cloth_purple 紫色布料
item.cloth_pink 粉紅色布料
item.cloth_light_pink 淺粉紅色布料
item.cloth_brown 棕色布料

item.weak_health_potion 弱效生命藥水
item.weak_health_potion.desc 恢復 10 點生命值
item.poison_potion 毒藥水
item.poison_potion.desc 不建議飲用！
item.speed_potion 速度藥水
item.regen_potion 再生藥水
item.regen_potion.desc 在 5 分鐘內緩慢恢復生命值。
item.armour_potion 護甲藥水
item.armour_potion.desc 在 5 分鐘內提高 4 點防禦。
item.respawn_potion 返回藥水
item.respawn_potion.desc 返回藥水
item.flight_potion 飛行藥水
item.flight_potion.desc 在 1 分鐘內可短暫進行火箭衝刺。
item.cure_cube 治癒方塊
item.cure_cube.desc 裝備後免疫中毒。
item.cotton_plant 棉花植株
item.cotton_plant.desc 可種植並收成。
item.decoration_station 裝飾台
item.decoration_station.desc 用於製作裝飾方塊。
item.dungeon_spawner 地城生成器
item.copper_bow 銅弓
item.iron_bow 鐵弓
item.silver_bow 銀弓
item.gold_bow 金弓
item.copper_crossbow 銅弩
item.iron_crossbow 鐵弩
item.silver_crossbow 銀弩
item.gold_crossbow 金弩
item.reinforced_arrow 強化箭矢
item.flaming_arrow 火焰箭矢
item.explosive_arrow 爆炸箭矢
item.root_arrow 箭根
item.rock_melon 岩瓜
item.watermelon 西瓜
item.brick 磚塊
item.brick.desc 可以丟向你不喜歡的東西。
item.throwable_torch 黏著火把
item.throwable_torch.desc 可投擲出去照亮洞穴。
item.squeaky_toy 吱吱玩具
item.whoopee_cushion 放屁坐墊
item.air_horn 氣笛
item.glow_worms 螢光蟲
item.heart_beet_block 心之甜菜（方塊）
item.sandstone_brick_small 小型砂岩磚
item.toy_crate 玩具箱
item.sprinkler 灑水器
item.soil 乾燥土壤
item.wet_soil 濕潤土壤
item.arrow_root_seed 箭根種子
item.bomb_berry_seed 炸彈莓種子
item.rock_melon_seed 岩瓜種子
item.watermelon_seed 西瓜種子
item.frying_pan 平底鍋
item.boomerang 迴力鏢
item.throwable_glow_bean 發光豆
item.watering_can 澆水壺
item.watering_can.desc 永遠都是滿的，因為魔法。
item.hoe 鋤頭
item.tomato 番茄
item.bread 麵包
item.wheat 小麥
item.bomb_berry 炸彈莓
item.bomb_berry.desc 警告：不要在屋內食用。
item.ominous_deer_skull 不祥鹿頭骨
item.oak_leaves 橡樹葉
item.placed_glow_bean 發光豆（方塊）
item.weapon_crate 武器箱
item.forest_chest 森林寶箱
item.tomato_seed 番茄種子
item.wheat_seed 小麥種子
item.glow_bean_seed 發光豆種子
item.weeds 雜草
item.spider_web 蜘蛛網
item.pizza_cutter 披薩刀
item.crowbar 鐵撬
item.melon_slicer 瓜果切片刀
item.forest_axe 森林斧
item.snowball_cannon 雪球槍
item.snowball 雪球
item.forest_ingot 森林錠
item.eightball 八號球
item.dice 骰子
item.basketball 籃球
item.bucket 水桶
item.water_bucket 水桶（水）
item.lava_bucket 水桶（熔岩）
item.sponge 海綿
item.lava_sponge 熔岩海綿
item.forest_blessing 森林祝福
item.forest_blessing.desc 額外增加 2 秒耐力。
item.minecart 礦車
item.minecart.desc 放在軌道上即可乘坐。
item.underground_bush 林下灌木
item.undergrowth_rock 林下岩石
item.forest_flower 森林之花
item.lava_lily 熔岩百合
item.bubble_glass 氣泡玻璃
item.undergrowth_crate 林下木箱
item.spike_trap 尖刺陷阱
item.dynamite_trap 炸藥陷阱
item.basket_hoop 籃球框
item.rail 軌道
item.painting_child 畫作中繼資料物品
item.painting_melon 畫作（瓜果）
item.painting_melon.desc 靜物畫……或許是自畫像。
item.painting_triangle 畫作（三角形）
item.painting_triangle.desc 生命最基本的構成單位。
item.painting_stars 畫作（群星）
item.painting_pipes 畫作（管線）
item.painting_cloud 畫作（粉紅雲）
item.painting_waves 畫作（波浪）
item.painting_biome 畫作（生態域）
item.painting_deer 畫作（鹿）
item.spawn_pointer 重生指標
item.spawn_pointer.desc 按右鍵設定重生點。
item.forest_helmet 森林頭盔
item.forest_chestplate 森林胸甲
item.forest_greaves 森林護腿
item.skull_fragment 頭骨碎片

item.cobalt_pickaxe 鈷鎬
item.cobalt_sword 鈷劍
item.arctic_blade 極地之刃
item.big_sword 大劍
item.baguette 法國長棍麵包
item.frosted_boomerang 霜凍迴力鏢
item.cobalt_spear 鈷矛
item.cobalt_axe 鈷斧
item.cobalt_helmet 鈷頭盔
item.cobalt_chestplate 鈷胸甲
item.cobalt_greaves 鈷護腿
item.cobalt_bow 鈷弓
item.cobalt_crossbow 鈷弩
item.snowball_splitter 雪球分流器
item.flamethrower 火焰噴射器
item.fart_gun 放屁槍
item.cobalt_ingot 鈷錠
item.copper_coin 銅代幣
item.silver_coin 銀代幣
item.gold_coin 金代幣
item.allumerium_coin Allumerium 代幣
item.mining_potion 採礦藥水
item.mint 薄荷
item.red_meat 紅肉
item.steak 牛排
item.red_mushroom_item 紅蘑菇
item.glowing_mushroom_item 發光蘑菇
item.magnet 磁鐵
item.magnet.desc 可吸引 4 公尺內的物品。
item.scuba_helmet 潛水頭盔
item.scuba_helmet.desc 可在水下呼吸。
item.curse_of_core 核心詛咒
item.curse_of_core.desc 可能帶來痛苦與折磨。
item.cosmic_radiation 宇宙輻射
item.cosmic_radiation.desc 可能造成位元翻轉。
item.paint_roller 油漆滾筒
item.paint_roller_earthy 油漆滾筒（土色調色盤）
item.paint_roller_pastel 油漆滾筒（粉彩調色盤）
item.wallpaper 壁紙
item.wallpaper.desc 只能貼在乾式牆上。
item.permafrost 永凍土
item.cobalt_ore 鈷礦石
item.amethyst_ore 紫水晶
item.sapphire_ore 藍寶石
item.diamond_ore 鑽石
item.cobalt_plated_stone 鈷包石
item.alpha_shop Alpha 商店
item.alpha_shop.desc 已棄用方塊
item.white_torch 白色火把
item.ice_crate 冰原木箱
item.ice_chest 冰原寶箱
item.table 桌子
item.chair 椅子
item.basic_lamp 燈
item.snow_dungeon_bricks 雪地地城磚
item.snow_dungeon_lamp 雪地地城燈
item.pressure_plate_small 小型壓力板
item.icycle 冰柱
item.switch 開關
item.cobalt_bars 鈷欄杆
item.drywall 乾式牆
item.cotton_candy 棉花糖
item.amethyst_block 紫水晶方塊
item.sapphire_block 藍寶石方塊
item.diamond_block 鑽石方塊
item.mint_seed 薄荷種子
item.painting_blue 畫作（藍）
item.painting_city 畫作（城市）
item.painting_desolate 畫作（荒蕪）
item.painting_figure 畫作（人影）
item.painting_bird 畫作（鳥）
item.painting_undergrowth 畫作（林下）
item.structure_save 儲存結構
item.structure_load 載入結構
item.structure_latch 結構鎖存器
item.structure_marker 結構標記器
item.structure_noreplace 結構不覆寫
item.fluid.empty 空流體
item.fluid.water 水
item.fluid.lava 熔岩
item.raygun_death 即死射線槍
item.ice_torch 冰火把
item.arcade_carpet 遊樂場地毯
item.painting_snowman 畫作（雪人）
item.big_snowball 大雪球
item.big_snowball.desc 想不想堆個雪人？
item.snow_boss_base 雪地首領基座
item.evil_tophat 邪惡高帽
item.evil_tophat.desc 可能創造生命。
item.blank_block 空白方塊
item.grid_block 網格方塊

item.carving_knife 雕刻刀
item.carving_knife.desc 用來雕刻南瓜。 
item.spawn_fuzzy 生成毛球怪
item.spawn_fuzzy_green 生成森林毛球怪
item.spawn_fuzzy_ice 生成冰霜毛球怪
item.spawn_hog 生成野豬
item.spawn_skeleton 生成骷髏
item.spawn_wizard 生成巫師
item.spawn_wizard_ice 生成冰霜巫師
item.spawn_mushroomer 生成蘑菇怪
item.spawn_nightflyer 生成夜行飛怪
item.spawn_snowman 生成雪人
item.spawn_stone_golem 生成石魔像
item.spawn_yeti 生成雪怪
item.spawn_zombie 生成殭屍
item.spawn_pukeko 生成秧雞
item.poo_gem 便便寶石
item.lush_grass 茂盛草地
item.dry_grass 秋草
item.grass_tall_autumn 秋季高草
item.grass_tall_lush 茂盛高草
item.terracotta_tiles 陶瓦
item.ritual_torch 儀式火把
item.spawner_block 怪物生成器
item.sign 告示牌
item.glass_sign 玻璃告示牌
item.screen_sign 螢幕告示牌
item.invisible_sign 隱形告示牌
item.carved_pumpkin 南瓜
item.pumpkin_seed 南瓜種子

item.basic_rod 基礎釣竿
item.basic_rod.desc 用來釣魚！
item.sturdy_rod 堅固釣竿 
item.sturdy_rod.desc 能釣起更難纏的魚。
item.obsidian_rod 黑曜石釣竿
item.obsidian_rod.desc 魚兒都怕我。
item.water_walking_potion 水上行走藥水
item.water_walking_potion.desc 讓你能在水面行走。
item.crate_potion 木箱藥水
item.crate_potion.desc 提高釣到木箱的機率。
item.fish_fillet 魚排
item.gormet_fish_fillet 豪華魚排
item.gormet_fish_fillet.desc 真好吃！
item.worm 蚯蚓
item.worm.desc 作為魚餌，可吸引較稀有的魚。
item.bug_bait 蟲餌
item.bug_bait.desc 作為魚餌，可吸引較稀有的魚。
item.rage_bait 狂怒魚餌
item.rage_bait.desc 吸引更稀有的魚，但也會讓牠們更暴躁。
item.magnetic_bait 磁力魚餌
item.magnetic_bait.desc 提高釣到木箱的機率。
item.fish_catfish 鯰魚
item.fish_walleye 大眼鰤
item.fish_carp 鯉魚
item.fish_tuna 鮪魚
item.fish_salmon 鮭魚
item.fish_murray_cod 墨累鱈
item.fish_herring 鯡魚
item.fish_minnow 米諾魚
item.fish_lanternfish 燈籠魚
item.fish_crystalfin 水晶鰭魚
item.fish_fangtooth 尖牙魚
item.fish_blobfish 水滴魚
item.fish_nautilus 鸚鵡螺
item.fish_smoulderfish 燻焰魚
item.fish_obsidieel 黑曜鰻
item.fish_stonefish 石頭魚
item.fish_rainbow_trout 虹鱒

item.packed_dirt 壓實泥土
item.seaweed 海藻
item.lilypad 睡蓮葉
item.elevator 電梯
item.elevator.desc 跳躍或潛行即可上下移動。

item.logic_wire 邏輯線
item.logic_gate 邏輯閘
item.logic_repeater 邏輯中繼器
item.logic_not 邏輯非閘
item.logic_and 邏輯及閘
item.logic_xor 邏輯互斥或閘
item.logic_toggle 邏輯切換器
item.logic_memory 邏輯記憶體
item.logic_pixel 邏輯像素
item.painting_wreath 畫作（花環）

item.forest_hammer 森林錘
item.forest_hammer.desc 可塑造更堅固的方塊。
item.door_locker 門鎖
item.door_locker.desc 鎖上門
item.forest_key 森林鑰匙
item.forest_key.desc 可解鎖森林之門
item.iron_key 鐵鑰匙
item.iron_key.desc 可解鎖一般門
item.jelly_spoon 果凍湯匙
item.jelly_spoon.desc 裝備後可穿過森林果凍。
item.spoon_fragment 湯匙碎片
item.spoon_fragment.desc 可組合成某個實用的東西。
item.dungeon_bricks_unstable 不穩定森林地城磚
item.dungeon_bricks_unstable.desc 踩上去會崩塌。
item.forest_jelly 森林果凍
item.forest_jelly.desc 有時是固體，有時不是。
item.bone_club 骨棒
item.boimp_potion Boimp 藥水
item.hanging_vines 垂掛藤蔓
item.hanging_flowers 垂掛花朵
item.myosotis 勿忘草
item.wallpaper_wood 木質壁板
item.wallpaper_stone 石質壁板
item.pebbles 小石子
item.grassy_stone 長草石
item.wallpaperable_wood 壁紙基底（木）
item.wallpaperable_stone 壁紙基底（石）
item.bed 床

item.geode 晶洞
item.merchant_hat 商人帽
item.merchant_backpack 商人背包
item.palm_log 棕櫚原木
item.maple_bookshelf 楓木書架
item.street_lamp 路燈
item.npc_sign NPC 房屋告示牌

item.ice_pickaxe 冰鎬
item.ice_pickaxe.desc 可挖掘鈀
item.palladium_pickaxe 鈀鎬
item.palladium_sword 鈀劍
item.cleaver 切肉刀
item.nightmare_blade 夢魘之刃
item.nightmare_blade.desc 這把劍真的很酷。
item.cursed_pickaxe 詛咒鎬
item.cursed_pickaxe.desc 不是拿來採礦的！
item.compact_disc 光碟
item.compact_disc.desc 古老科技。
item.palladium_spear 鈀矛
item.palladium_axe 鈀斧
item.palladium_helmet 鈀頭盔
item.palladium_chestplate 鈀胸甲
item.palladium_greaves 鈀護腿
item.palladium_bow 鈀弓
item.palladium_crossbow 鈀弩
item.coconut_cannon 椰子加農砲
item.coconut_splitter 椰子分流器
item.glass_cannon 玻璃加農砲
item.shuriken_launcher 手裏劍發射器
item.ice_arrow 冰箭
item.ice_arrow.desc 凍結目標
item.shock_arrow 震擊箭
item.shock_arrow.desc 擊暈目標
item.palladium_arrow 鈀箭
item.coconut 椰子
item.desert_shuriken 沙漠手裏劍
item.snowball_shuriken 雪球手裏劍
item.cobalt_shuriken 鈷手裏劍
item.glass_shard 玻璃碎片
item.palladium_ingot 鈀錠
item.purple_fire_extinguisher 紫焰滅火器
item.purple_fire_extinguisher.desc 熄滅魔法火焰。
item.purple_fire_lighter 紫焰點火器
item.purple_fire_lighter.desc 重新點燃魔法火焰。
item.sand_dungeon_key 沙漠地城鑰匙
item.sand_dungeon_key.desc 解鎖沙漠地城門。
item.desert_glider 沙漠滑翔翼
item.desert_glider.desc 粉紅色讓你飛得更快。
item.frozen_heart 冰凍之心
item.frozen_heart.desc 提供冰凍免疫。
item.paint_roller_pixel 油漆滾筒（像素）
item.paint_roller_greyscale 油漆滾筒（灰階）
item.paint_roller_desert 油漆滾筒（沙漠）
item.spawn_mossy_stone_golem 生成苔蘚石魔像
item.spawn_iceflyer 生成冰翼怪
item.spawn_poison_bulb 生成毒球怪
item.spawn_mummy 生成木乃伊
item.spawn_sand_ghost 生成沙之幽靈
item.spawn_tumbleweed 生成風滾草
item.spawn_sand_skeleton 生成沙漠骷髏
item.spawn_faceless_miner 生成無面礦工
item.thorns 荊棘
item.sand_key_part 沙漠鑰匙碎片
item.sand_key_part.desc 三個碎片之一。
item.sakura_log 櫻木原木
item.palm_leaves 棕櫚葉
item.sakura_leaves 櫻花樹葉
item.yellow_snow 黃雪
item.yellow_snow.desc 不要吃！
item.thermal_vent 熱泉噴口
item.thermal_vent.desc 可疑地溫暖。
item.bone_block 骨塊
item.quicksand 流沙
item.quicksand.desc 讓人有種不斷下沉的感覺……
item.sandstone_grass 砂岩草地
item.palm_sapling 棕櫚樹苗
item.ice_cap 冰帽菇
item.orange_fungi 橘色真菌
item.palladium_ore 鈀礦石
item.palm_planks 棕櫚木板
item.sakura_planks 櫻木板
item.palladium_plated_stone 鈀包石
item.iron_anvil 鐵砧
item.sand_chest 沙漠寶箱
item.sand_dungeon_bricks 沙漠地城磚
item.sand_dungeon_block 沙漠地城方塊
item.sand_dungeon_lock 沙漠地城鎖
item.sand_dungeon_summon 沙漠地城召喚器
item.sand_dungeon_spawner 沙漠地城生成器
item.sand_dungeon_grate 沙漠地城柵格
item.sand_dungeon_torch 沙漠地城火把
item.sand_dungeon_bricks_unstable 不穩定沙漠地城磚
item.sand_dungeon_platform 沙漠地城平台
item.logic_entwine 邏輯纏結器
item.structure_replace 結構覆寫
item.fluid.spring_water 泉水
item.evil_flower 神祕邪惡之花
item.evil_flower.desc 你為什麼要種這個！？！？
item.lush_grass_seed 茂盛草種
item.lush_grass_seed.desc 種在泥土上可長出草地。
item.forest_grass_seed 森林草種
item.forest_grass_seed.desc 種在泥土上可長出草地。
item.dry_grass_seed 乾草種
item.dry_grass_seed.desc 種在泥土上可長出草地。
item.gravel 礫石
item.gold_flower 金色花
item.gold_flower.desc 見證你栽培花朵的熱忱。
item.painting_sky 畫作（天空）
item.painting_alpha 畫作（Alpha）
item.painting_droplet 畫作（水滴）
item.painting_ornate 畫作（華飾）
item.painting_parthenon 畫作（帕德嫩神殿）
item.painting_horse 畫作（馬）

item.bubble_mix 泡泡液
item.bubble_machine 泡泡機

guide.open_menu.name 冒險起點
guide.open_menu.desc 歡迎使用冒險指南！隨著遊戲進度推進，這份指南會逐步介紹新的目標與玩法。別擔心，是否照著指南進行完全由你決定；如果卡關了，不妨先來這裡看看！ 
guide.pickup_rocks.name 撿拾石塊
guide.pickup_rocks.desc 先撿一些燧石來製作初期工具。五個就足以完成下一步。
guide.chop_tree.name 徒手伐木
guide.chop_tree.desc 每段精彩冒險都少不了這一步。英雄得先打倒一棵樹，才能踏上旅程。
guide.make_workbench.name 製作工作台
guide.make_workbench.desc 打開物品欄，透過製作選單把手上的原木加工成木板。準備 5 塊木板後，就能製作工作台。
guide.pickaxe.name 燧石鎬
guide.pickaxe.desc 你需要燧石鎬來挖掘石頭與泥土方塊。
guide.sword.name 燧石劍
guide.sword.desc 準備一把劍，才能保護自己免受夜間生物襲擊。
guide.axe.name 燧石斧
guide.axe.desc 斧頭砍伐木質材料的速度比其他工具更快。
guide.make_housing.name 建造住所
guide.make_housing.desc 建議開始蓋房子，讓居民能搬進來。房間必須封閉且照明充足，再放置 NPC 房屋告示牌，以確認它是有效住所。 
guide.decoration_station.name 室內擺設
guide.decoration_station.desc 你可以向商人購買裝飾台，解鎖許多實用與裝飾物品。在 NPC 房間擺放家具可提高他們的幸福度。
guide.make_bed.name 床
guide.make_bed.desc 要在床上睡覺，房間必須足夠舒適；若想快速度過夜晚，房間也要有良好裝潢。床只能向建築師 NPC 購買，所以你得先替他準備一間可入住的房間。
guide.make_chair.name 椅子
guide.make_chair.desc 椅子是簡單的家具，能讓房間更有味道。
guide.block_shaping.name 方塊塑形
guide.block_shaping.desc 你可以用錘子或形狀選擇選單改變任何完整方塊的形狀。別忘了，常用操作會顯示在畫面右下角。
guide.block_painting.name 方塊上色
guide.block_painting.desc 你可以用油漆滾筒替遊戲中的任何方塊上色。油漆通常只是套用色調，因此白色多半不會改變外觀；但像石磚這類部分方塊有專用材質，仍可使用白色油漆。
guide.copper_ore.name 銅礦石
guide.copper_ore.desc 銅礦石是燧石之上的第一階材料。 
guide.coal_ore.name 煤礦脈
guide.coal_ore.desc 建議盡快找到煤炭。煤礦可能裸露在地表，也能在洞穴中發現。
guide.furnace.name 熔爐
guide.furnace.desc 你需要熔爐才能把礦石熔煉成錠。
guide.copper_ingot.name 銅
guide.copper_ingot.desc 銅能解鎖許多新配方，包括護甲、弓與其他工具。
guide.make_torch.name 火把
guide.make_torch.desc 火把可用木材與煤炭製作。夜晚十分昏暗，記得盡快準備一些；你也能在其他地方找到火把。
guide.iron_ingot.name 鐵
guide.iron_ingot.desc 比銅更高一階的材料。 
guide.silver_ingot.name 銀
guide.silver_ingot.desc 比鐵更高一階的材料。
guide.gold_ingot.name 金
guide.gold_ingot.desc 比銀更高一階的材料。
guide.heart_beet.name 心之甜菜
guide.heart_beet.desc 這種實用植物食用後會產生特殊效果。
guide.sneakers.name 運動鞋
guide.sneakers.desc 裝備這個飾品後即可潛行。
guide.iron_crossbow.name 鐵弩
guide.iron_crossbow.desc 按住射擊鍵時，弩可以自動連續射箭。
guide.iron_bow.name 鐵弓
guide.iron_bow.desc 弓更適合遠距離戰鬥，蓄力越久，造成的傷害越高。
guide.shuriken.name 手裏劍
guide.shuriken.desc 手裏劍便宜又實用，能造成不錯的傷害。地下木箱裡常常能找到它們。
guide.potion_station.name 藥水台
guide.potion_station.desc 用它來製作藥水。藥水能在戰鬥中提供各種強化效果，非常實用。
guide.silver_armour.name 銀護甲
guide.silver_armour.desc 裝備任一件銀護甲。
guide.ominous_skull.name 不祥頭骨
guide.ominous_skull.desc 這顆頭骨散發著幽微光芒。準備面對你的恐懼吧。
guide.forest_key.name 森林鑰匙
guide.forest_key.desc 這把鑰匙能開啟森林中的神祕地城。去找一個巨大的樹樁。
guide.spoon.name 果凍湯匙
guide.spoon.desc 這是一件飾品，裝備後可穿過特定方塊。它不是直接找到的物品，而是要把地城敵人掉落的湯匙碎片組合起來製作。
guide.forest_pickaxe.name 森林鎬
guide.forest_pickaxe.desc 有了這把工具，你現在能探索更深處了。（試著往下挖！）
guide.forest_blessing.name 森林祝福
guide.forest_blessing.desc 這個物品會一次性提升你的耐力。
guide.forest_flower.name 森林之花
guide.forest_flower.desc 可在林下區域找到的實用材料。
guide.forest_ingot.name 森林錠
guide.forest_ingot.desc 由森林之花與荊棘製成的合金。
guide.farming_node.name 農耕
guide.farming_node.desc 建立農場種植作物是個好主意。作物能用於藥水，也有其他實用用途。
guide.watering_can.name 手動澆水
guide.watering_can.desc 你可以用澆水壺手動替作物澆水。作物會維持濕潤一段時間，而且只有在水分充足時才會生長。
guide.sprinkler.name 自動澆水
guide.sprinkler.desc 灑水器能自動替作物澆水。放置後，會澆灌周圍 5×5 範圍內的作物。
guide.wheat.name 小麥
guide.wheat.desc 小麥是常見作物，可作為藥水與麵包的材料。
guide.arrowroot.name 箭根
guide.arrowroot.desc 箭根是只能透過突變取得的稀有作物。它能當作箭矢使用，讓你用種的取代用做的。
guide.bomb_berry.name 炸彈莓
guide.bomb_berry.desc 炸彈莓丟出去就會爆炸。種植其他作物時，如果農田留有空位，它們偶爾會自行出現。
guide.fishing_rod.name 釣竿
guide.fishing_rod.desc 釣魚可以取得藥水材料，遊戲也會替你記錄捕獲過的魚類。
guide.sprint_boots.name 拜託讓我衝刺
guide.sprint_boots.desc 這雙靴子讓你可以衝刺！耐力目前有限，但之後還能提升。
guide.rose.name 換個名字也一樣芬芳
guide.rose.desc 不只作物能澆水；替草地等其他方塊澆水，也可能長出各種花草，其中有些是這個機制限定的稀有植物。
guide.to_the_snow.name 前往雪地！
guide.to_the_snow.desc 是時候前往雪地生態域繼續冒險了。盡情探索，好好玩吧！
guide.ice_arrow.name 冰箭
guide.ice_arrow.desc 這些箭比普通箭更強，而且還會造成冰凍傷害。冷死啦！
guide.snowball.name 雪球
